TABLE 6J.1 - ADDITIONS TO THE CC LIST
Diagnosis Code	Description
L98.A295	Non-pressure chronic ulcer of unspecified forearm with muscle involvement without evidence of necrosis
L98.A296	Non-pressure chronic ulcer of unspecified forearm with bone involvement without evidence of necrosis
L98.A298	Non-pressure chronic ulcer of unspecified forearm with other specified severity
L98.A313	Non-pressure chronic ulcer of right hand with necrosis of muscle
L98.A314	Non-pressure chronic ulcer of right hand with necrosis of bone
L98.A315	Non-pressure chronic ulcer of right hand with muscle involvement without evidence of necrosis
L98.A316	Non-pressure chronic ulcer of right hand with bone involvement without evidence of necrosis
L98.A318	Non-pressure chronic ulcer of right hand with other specified severity
L98.A323	Non-pressure chronic ulcer of left hand with necrosis of muscle
L98.A324	Non-pressure chronic ulcer of left hand with necrosis of bone
L98.A325	Non-pressure chronic ulcer of left hand with muscle involvement without evidence of necrosis
L98.A326	Non-pressure chronic ulcer of left hand with bone involvement without evidence of necrosis
L98.A328	Non-pressure chronic ulcer of left hand with other specified severity
L98.A393	Non-pressure chronic ulcer of unspecified hand with necrosis of muscle
L98.A394	Non-pressure chronic ulcer of unspecified hand with necrosis of bone
L98.A395	Non-pressure chronic ulcer of unspecified hand with muscle involvement without evidence of necrosis
L98.A396	Non-pressure chronic ulcer of unspecified hand with bone involvement without evidence of necrosis
L98.A398	Non-pressure chronic ulcer of unspecified hand with other specified severity
N04.B1	Nephrotic syndrome with idiopathic immune complex membranoproliferative glomerulonephritis (IC-MPGN)
N04.B2	Nephrotic syndrome with secondary immune complex membranoproliferative glomerulonephritis (IC-MPGN)
Q87.87	Hao-Fountain Syndrome
Q87.88	CTNNB1 syndrome
Q89.81	Kabuki syndrome
Q89.89	Other specified congenital malformations
Q99.811	Usher syndrome, type 1
Q99.812	Usher syndrome, type 2
Q99.813	Usher syndrome, type 3
Q99.818	Other Usher syndrome
Q99.819	Usher syndrome, unspecified
QA0.0101	SCN2A-related neurodevelopmental disorder
QA0.0102	CACNA1A-related neurodevelopmental disorder
QA0.0109	Neurodevelopmental disorder related to pathogenic variant in other ion channel gene
QA0.011	Neurodevelopmental disorders, related to pathogenic variants in glutamate receptor genes
QA0.012	Neurodevelopmental disorders, related to pathogenic variants in other receptor genes
QA0.0131	SLC6A1-related disorder
QA0.0139	Neurodevelopmental disorder, related to pathogenic variant in other transporter or solute carrier gene
QA0.0141	Syntaxin-binding protein 1-related disorder
QA0.0142	DLG4-related synaptopathy
QA0.0149	Neurodevelopmental disorder, related to pathogenic variant in other synapse related gene
QA0.0151	FOXG1 syndrome
QA0.0159	Neurodevelopmental disorder, related to other genes associated with transcription and gene expression
QA0.8	Other neurodevelopmental disorders related to pathogenic variants in other specific genes
T78.070A	Anaphylactic reaction due to milk and dairy products with tolerance to baked milk, initial encounter
T78.071A	Anaphylactic reaction due to milk and dairy products with reactivity to baked milk, initial encounter
T78.079A	Anaphylactic reaction due to milk and dairy products, unspecified, initial encounter
T78.080A	Anaphylactic reaction due to egg with tolerance to baked egg, initial encounter
T78.081A	Anaphylactic reaction due to egg with reactivity to baked egg, initial encounter
T78.089A	Anaphylactic reaction due to eggs, unspecified, initial encounter

	Notes:
